"text","favorited","favoriteCount","replyToSN","created_at","truncated","replyToSID","id","replyToUID","statusSource","screen_name","retweetCount","isRetweet","retweeted","longitude","latitude","from_user","reply_to","users_mentioned","retweet_from","hashtags_used"
"RT @tupackatari51: El imperialista de @evoespueblo #RayoEvolizador https://t.co/5NnbQGDX2V",FALSE,0,,2018-03-02 03:20:06,FALSE,,"969411999540146178",,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","carlafigr",45,TRUE,FALSE,,,"carlafigr",,"tupackatari51 evoespueblo","tupackatari51","#RayoEvolizador"
"RT @evoespueblo: Ì†ΩÌ∏Å con mucha creatividad, miles de internautas y activistas en redes sociales hicieron tendencia el #RayoEvolizador, con me‚Ä¶",FALSE,0,,2018-03-02 03:20:04,FALSE,,"969411993349312513",,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","FenixioBoavista",1183,TRUE,FALSE,,,"FenixioBoavista",,"evoespueblo","evoespueblo",
"RT @evoespueblo: Ì†ΩÌ∏Å con mucha creatividad, miles de internautas y activistas en redes sociales hicieron tendencia el #RayoEvolizador, con me‚Ä¶",FALSE,0,,2018-03-02 03:19:00,FALSE,,"969411722426580992",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","UZUMAKIGUN2997",1183,TRUE,FALSE,,,"UZUMAKIGUN2997",,"evoespueblo","evoespueblo",
"RT @evoespueblo: Ì†ΩÌ∏Å con mucha creatividad, miles de internautas y activistas en redes sociales hicieron tendencia el #RayoEvolizador, con me‚Ä¶",FALSE,0,,2018-03-02 03:18:18,FALSE,,"969411546450481153",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","friedrichknishe",1183,TRUE,FALSE,,,"friedrichknishe",,"evoespueblo","evoespueblo",
"RT @evoespueblo: Ì†ΩÌ∏Å con mucha creatividad, miles de internautas y activistas en redes sociales hicieron tendencia el #RayoEvolizador, con me‚Ä¶",FALSE,0,,2018-03-02 03:18:04,FALSE,,"969411488388730880",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","V_mamaniF",1183,TRUE,FALSE,,,"V_mamaniF",,"evoespueblo","evoespueblo",
"RT @evoespueblo: Ì†ΩÌ∏Å con mucha creatividad, miles de internautas y activistas en redes sociales hicieron tendencia el #RayoEvolizador, con me‚Ä¶",FALSE,0,,2018-03-02 03:18:02,FALSE,,"969411479819743232",,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","aavvilla",1183,TRUE,FALSE,,,"aavvilla",,"evoespueblo","evoespueblo",
"RT @evoespueblo: Ì†ΩÌ∏Å con mucha creatividad, miles de internautas y activistas en redes sociales hicieron tendencia el #RayoEvolizador, con me‚Ä¶",FALSE,0,,2018-03-02 03:15:27,FALSE,,"969410832579907584",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","umdelaire",1183,TRUE,FALSE,,,"umdelaire",,"evoespueblo","evoespueblo",
"RT @angelcaido666x: #RayoEvolizador https://t.co/WJ9Yt6MWM3",FALSE,0,,2018-03-02 03:14:51,FALSE,,"969410679080923137",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ivanrs84",12,TRUE,FALSE,,,"ivanrs84",,"angelcaido666x","angelcaido666x","#RayoEvolizador"
"RT @evoespueblo: Ì†ΩÌ∏Å con mucha creatividad, miles de internautas y activistas en redes sociales hicieron tendencia el #RayoEvolizador, con me‚Ä¶",FALSE,0,,2018-03-02 03:13:55,FALSE,,"969410443482628097",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Giannino01",1183,TRUE,FALSE,,,"Giannino01",,"evoespueblo","evoespueblo",
"RT @evoespueblo: Ì†ΩÌ∏Å con mucha creatividad, miles de internautas y activistas en redes sociales hicieron tendencia el #RayoEvolizador, con me‚Ä¶",FALSE,0,,2018-03-02 03:13:48,FALSE,,"969410415871524864",,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AbelBertyC",1183,TRUE,FALSE,,,"AbelBertyC",,"evoespueblo","evoespueblo",
"RT @evoespueblo: Ì†ΩÌ∏Å con mucha creatividad, miles de internautas y activistas en redes sociales hicieron tendencia el #RayoEvolizador, con me‚Ä¶",FALSE,0,,2018-03-02 03:13:28,FALSE,,"969410330416893952",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","juanegiusti",1183,TRUE,FALSE,,,"juanegiusti",,"evoespueblo","evoespueblo",
"RT @evoespueblo: Ì†ΩÌ∏Å con mucha creatividad, miles de internautas y activistas en redes sociales hicieron tendencia el #RayoEvolizador, con me‚Ä¶",FALSE,0,,2018-03-02 03:13:15,FALSE,,"969410275068739584",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rigober59919419",1183,TRUE,FALSE,,,"rigober59919419",,"evoespueblo","evoespueblo",
"Ma√±ana @unitelbolivia @diario y @patnoticias entrevistando al creador del hashtag #RayoEvolizador.

Guarden este tuit.",FALSE,2,,2018-03-02 03:13:08,FALSE,,"969410249437433856",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","UCruceno",0,FALSE,FALSE,,,"UCruceno",,"unitelbolivia diario patnoticias",,"#RayoEvolizador"
"RT @evoespueblo: Ì†ΩÌ∏Å con mucha creatividad, miles de internautas y activistas en redes sociales hicieron tendencia el #RayoEvolizador, con me‚Ä¶",FALSE,0,,2018-03-02 03:12:55,FALSE,,"969410191560232960",,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","oskygomita",1183,TRUE,FALSE,,,"oskygomita",,"evoespueblo","evoespueblo",
"RT @Axel1Ray1: #RayoEvolizador Evo cambio la Educaci√≥n para nuestro hijos @MindeGobierno @mincombolivia @minedubol https://t.co/KG64mwZ6OD",FALSE,0,,2018-03-02 03:12:40,FALSE,,"969410130214256641",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","taamiiiO",47,TRUE,FALSE,,,"taamiiiO",,"Axel1Ray1 MindeGobierno mincombolivia minedubol","Axel1Ray1","#RayoEvolizador"
"RT @evoespueblo: Ì†ΩÌ∏Å con mucha creatividad, miles de internautas y activistas en redes sociales hicieron tendencia el #RayoEvolizador, con me‚Ä¶",FALSE,0,,2018-03-02 03:12:38,FALSE,,"969410121251065856",,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JotitaJota1",1183,TRUE,FALSE,,,"JotitaJota1",,"evoespueblo","evoespueblo",
"RT @evoespueblo: Ì†ΩÌ∏Å con mucha creatividad, miles de internautas y activistas en redes sociales hicieron tendencia el #RayoEvolizador, con me‚Ä¶",FALSE,0,,2018-03-02 03:10:37,FALSE,,"969409613975212033",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sararod28926026",1183,TRUE,FALSE,,,"sararod28926026",,"evoespueblo","evoespueblo",
"RT @evoespueblo: Ì†ΩÌ∏Å con mucha creatividad, miles de internautas y activistas en redes sociales hicieron tendencia el #RayoEvolizador, con me‚Ä¶",FALSE,0,,2018-03-02 03:10:36,FALSE,,"969409610288427009",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AlvarezAnahias",1183,TRUE,FALSE,,,"AlvarezAnahias",,"evoespueblo","evoespueblo",
"RT @alebalcazar: Diablo Diablo, tu zurda es un regalo de Dios Ì†ºÌæß #RayoEvolizador https://t.co/kRPZBG5ExC",FALSE,0,,2018-03-02 03:09:15,FALSE,,"969409271472574464",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","VejigaNatatoria",11,TRUE,FALSE,,,"VejigaNatatoria",,"alebalcazar","alebalcazar",
"RT @gersonenzo: Que dir√°n las @LeoMessifanclub del #RayoEvolizador https://t.co/8Rv0LJSeYP",FALSE,0,,2018-03-02 03:08:52,FALSE,,"969409172902203392",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","VejigaNatatoria",9,TRUE,FALSE,,,"VejigaNatatoria",,"gersonenzo LeoMessifanclub","gersonenzo","#RayoEvolizador"
"RT @evoespueblo: Ì†ΩÌ∏Å con mucha creatividad, miles de internautas y activistas en redes sociales hicieron tendencia el #RayoEvolizador, con me‚Ä¶",FALSE,0,,2018-03-02 03:08:15,FALSE,,"969409019537428480",,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","soyelmalmenor",1183,TRUE,FALSE,,,"soyelmalmenor",,"evoespueblo","evoespueblo",
